회사명,거래소코드,회계년도,매출액(영업수익)(*)(천원),매출액(수익)(*)(IFRS)(천원)
(주)경방,000050,1983/12,61596236,
(주)경방,000050,1984/12,69689832,
(주)경방,000050,1985/12,70278303,
(주)경방,000050,1986/12,82269318,
(주)경방,000050,1987/12,101216702,
(주)경방,000050,1988/12,113702961,
(주)경방,000050,1989/12,110382042,
(주)경방,000050,1990/12,106916177,
(주)경방,000050,1991/12,116071906,
(주)경방,000050,1992/12,116113609,
(주)경방,000050,1993/12,115466095,
(주)경방,000050,1994/12,150682341,
(주)경방,000050,1995/12,178966851,
(주)경방,000050,1996/12,176527775,
(주)경방,000050,1997/12,193152028,
(주)경방,000050,1998/12,220359657,
(주)경방,000050,1999/12,215739234,
(주)경방,000050,2000/12,172513153,
(주)경방,000050,2001/12,178380576,
(주)경방,000050,2002/12,191323101,
(주)경방,000050,2003/12,185753163,
(주)경방,000050,2004/12,173896808,
(주)경방,000050,2005/12,163967992,
(주)경방,000050,2006/12,156260079,
(주)경방,000050,2007/12,152194104,152194104
(주)경방,000050,2008/12,154821729,154821729
(주)경방,000050,2009/12,177298137,177298137
(주)경방,000050,2010/12,272270974,277727642
(주)경방,000050,2011/12,275746943,275746943
(주)경방,000050,2012/12,265409209,265409209
(주)경방,000050,2013/12,264782077,264782077
(주)경방,000050,2014/12,256979444,256979444
(주)경방,000050,2015/12,307744480,307744480
(주)경방,000050,2016/12,313876822,313876822
(주)경방,000050,2017/12,288103985,288103985
(주)경방,000050,2018/12,279085217,279085217
(주)경방,000050,2019/12,253552382,253552382
(주)경방,000050,2020/12,226061886,226061886
(주)경보제약,214390,1999/12,39677187,
(주)경보제약,214390,2000/12,43295113,
(주)경보제약,214390,2001/12,39090525,
(주)경보제약,214390,2002/12,40733105,
(주)경보제약,214390,2003/12,44515814,
(주)경보제약,214390,2004/12,46923160,
(주)경보제약,214390,2005/12,46652403,
(주)경보제약,214390,2006/12,60768017,
(주)경보제약,214390,2007/12,62619509,
(주)경보제약,214390,2008/12,87798440,
(주)경보제약,214390,2009/12,121668679,
(주)경보제약,214390,2010/12,140209101,
(주)경보제약,214390,2011/12,140390500,
(주)경보제약,214390,2012/12,152821642,
(주)경보제약,214390,2013/12,162218140,162218140
(주)경보제약,214390,2014/12,169781246,169781246
(주)경보제약,214390,2015/12,178032632,178032632
(주)경보제약,214390,2016/12,186726170,186726170
(주)경보제약,214390,2017/12,191661374,191661374
(주)경보제약,214390,2018/12,201343596,201343596
(주)경보제약,214390,2019/12,191706189,191706189
(주)경보제약,214390,2020/12,215285095,215285095
(주)경인양행,012610,1985/12,,
(주)경인양행,012610,1986/12,,
(주)경인양행,012610,1987/12,13461772,
(주)경인양행,012610,1988/12,16264129,
(주)경인양행,012610,1989/12,16926834,
(주)경인양행,012610,1990/12,17133910,
(주)경인양행,012610,1991/12,18118721,
(주)경인양행,012610,1992/12,21807107,
