종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"001795","대한제당우","4600","25","0.55","4640","4690","4575","388873","1796293015","29820696000","6482760"
"001130","대한제분","176000","-1000","-0.56","177000","177000","174000","11429","2004129000","297440000000","1690000"
"003490","대한항공","33500","-150","-0.45","33750","34050","32850","4792524","160271122750","11651997637500","347820825"
"003495","대한항공우","45100","-550","-1.20","45650","45800","44400","36979","1667869550","50096809400","1110794"
"005880","대한해운","3325","5","0.15","3330","3340","3270","2013530","6663808565","812201374250","244271090"
"003830","대한화섬","151000","3000","2.03","149000","153000","149000","2015","304267000","200528000000","1328000"
"016090","대현","2940","-10","-0.34","2950","3025","2910","959434","2842924310","130189991400","44282310"
"069460","대호에이엘","4085","-15","-0.37","4065","4095","3925","940868","3780554385","115569948245","28291297"
"192080","더블유게임즈","67800","800","1.19","66700","68500","66700","79182","5367194100","1245791235600","18374502"
"012510","더존비즈온","81200","800","1.00","80300","81400","80000","182807","14778301400","2463661673200","30340661"
"004830","덕성","30700","250","0.82","31150","31150","29500","2620003","79965633850","481376000000","15680000"
"004835","덕성우","43950","-1800","-3.93","45700","45700","43000","39242","1717912900","61178400000","1392000"
"024900","덕양산업","3660","-15","-0.41","3675","3710","3600","446587","1638503965","119187826800","32564980"
"145720","덴티움","59300","0","0.00","59800","60000","59000","52254","3097951400","656381619000","11068830"
"002150","도화엔지니어링","9450","-30","-0.32","9510","9540","9400","76382","721903240","318654000000","33720000"
"001230","동국제강","22200","-650","-2.84","22700","22700","22100","1805629","40200980500","2118606761400","95432737"
"023450","동남합성","52400","100","0.19","51800","52400","51800","667","34815400","189164000000","3610000"
"004140","동방","6620","70","1.07","6550","6650","6440","1466106","9618572430","264613090920","39971766"
"007590","동방아그로","8020","20","0.25","8040","8080","7950","52080","417333350","109212967540","13617577"
"005960","동부건설","13050","200","1.56","12950","13250","12900","284272","3721725650","296578188900","22726298"
